,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass
0,53,53,49,1,16,1,1,1,1,1.0,InferType
1,53,53,49,1,16,1,1,1,1,1.0,InferType
2,53,53,49,1,16,1,1,1,1,1.0,AlterOpLayout
3,53,53,49,1,16,1,1,1,1,1.0,InferType
4,53,53,49,1,16,1,1,1,1,1.0,InferType
5,53,53,49,1,16,1,1,1,1,1.0,DefuseOps
6,53,53,49,1,16,1,1,1,1,1.0,InferType
7,53,53,49,1,16,1,1,1,1,1.0,FoldConstant
8,53,53,49,1,16,1,1,1,1,1.0,InferType
9,53,53,49,1,16,1,1,1,1,1.0,InferType
10,53,53,49,1,16,1,1,1,1,1.0,FoldConstant
11,53,53,49,1,16,1,1,1,1,1.0,InferType
12,53,53,49,1,16,1,1,1,1,1.0,InferType
13,53,53,49,1,16,1,1,1,1,1.0,DynamicToStatic
14,53,53,49,1,16,1,1,1,1,1.0,InferType
15,53,53,49,1,17,1,1,1,1,,InferType
16,53,53,49,1,17,1,1,1,1,,CanonicalizeOps
17,53,53,49,1,17,1,1,1,1,,InferType
18,53,53,49,1,17,1,1,1,1,,InferType
19,53,53,49,1,17,1,1,1,1,,CanonicalizeCast
20,53,53,49,1,17,1,1,1,1,,sequential
